Water (H2O)	H2O1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.904	-238.921	-238.921	INFINITE
100	33.299	152.388	218.534	-6.615	-240.083	-236.584	123.579
200	33.349	175.485	191.896	-3.282	-240.900	-232.766	60.792
298.15	33.590	188.834	188.834	0.	-241.826	-228.582	40.047
300	33.596	189.042	188.835	0.062	-241.844	-228.500	39.785
400	34.262	198.788	190.159	3.452	-242.846	-223.901	29.238
500	35.226	206.534	192.685	6.925	-243.826	-219.051	22.884
600	36.325	213.052	195.550	10.501	-244.758	-214.007	18.631
700	37.495	218.739	198.465	14.192	-245.632	-208.812	15.582
800	38.721	223.825	201.322	18.002	-246.443	-203.496	13.287
900	39.987	228.459	204.084	21.938	-247.185	-198.083	11.496
1000	41.268	232.738	206.738	26.000	-247.857	-192.590	10.060
1100	42.536	236.731	209.285	30.191	-248.460	-187.033	8.881
1200	43.768	240.485	211.730	34.506	-248.997	-181.425	7.897
1300	44.945	244.035	214.080	38.942	-249.473	-175.774	7.063
1400	46.054	247.407	216.341	43.493	-249.894	-170.089	6.346
1500	47.090	250.620	218.520	48.151	-250.265	-164.376	5.724
1600	48.050	253.690	220.623	52.908	-250.592	-158.639	5.179
1700	48.935	256.630	222.655	57.758	-250.881	-152.883	4.698
1800	49.749	259.451	224.621	62.693	-251.138	-147.111	4.269
1900	50.496	262.161	226.526	67.706	-251.368	-141.325	3.885
2000	51.180	264.769	228.374	72.790	-251.575	-135.528	3.540
2100	51.823	267.282	230.167	77.941	-251.762	-129.721	3.227
2200	52.408	269.706	231.909	83.153	-251.934	-123.905	2.942
2300	52.947	272.048	233.604	88.421	-252.092	-118.082	2.682
2400	53.444	274.312	235.253	93.741	-252.239	-112.252	2.443
2500	53.904	276.503	236.860	99.108	-252.379	-106.416	2.223
2600	54.329	278.625	238.425	104.520	-252.513	-100.575	2.021
2700	54.723	280.683	239.952	109.973	-252.643	-94.729	1.833
2800	55.089	282.680	241.443	115.464	-252.771	-88.878	1.658
2900	55.430	284.619	242.899	120.990	-252.897	-83.023	1.495
3000	55.748	286.504	244.321	126.549	-253.024	-77.163	1.344
3100	56.044	288.337	245.711	132.139	-253.152	-71.298	1.201
3200	56.323	290.120	247.071	137.757	-253.282	-65.430	1.068
3300	56.583	291.858	248.402	143.403	-253.416	-59.558	0.943
3400	56.828	293.550	249.705	149.073	-253.553	-53.681	0.825
3500	57.058	295.201	250.982	154.768	-253.696	-47.801	0.713
3600	57.276	296.812	252.233	160.485	-253.844	-41.916	0.608
3700	57.480	298.384	253.459	166.222	-253.997	-36.027	0.509
3800	57.675	299.919	254.661	171.980	-254.158	-30.133	0.414
3900	57.859	301.420	255.841	177.757	-254.326	-24.236	0.325
4000	58.033	302.887	256.999	183.552	-254.501	-18.334	0.239
4100	58.199	304.322	258.136	189.363	-254.684	-12.427	0.158
4200	58.357	305.726	259.252	195.191	-254.876	-6.516	0.081
4300	58.507	307.101	260.349	201.034	-255.078	-0.600	0.007
4400	58.650	308.448	261.427	206.892	-255.288	5.320	-0.063
4500	58.787	309.767	262.486	212.764	-255.508	11.245	-0.131
4600	58.918	311.061	263.528	218.650	-255.738	17.175	-0.195
4700	59.044	312.329	264.553	224.548	-255.978	23.111	-0.257
4800	59.164	313.574	265.562	230.458	-256.229	29.052	-0.316
4900	59.275	314.795	266.554	236.380	-256.491	34.998	-0.373
5000	59.390	315.993	267.531	242.313	-256.763	40.949	-0.428
5100	59.509	317.171	268.493	248.258	-257.046	46.906	-0.480
5200	59.628	318.327	269.440	254.215	-257.338	52.869	-0.531
5300	59.746	319.464	270.373	260.184	-257.639	58.838	-0.580
5400	59.864	320.582	271.293	266.164	-257.950	64.811	-0.627
5500	59.982	321.682	272.199	272.157	-258.268	70.791	-0.672
5600	60.100	322.764	273.092	278.161	-258.595	76.777	-0.716
5700	60.218	323.828	273.973	284.177	-258.930	82.769	-0.758
5800	60.335	324.877	274.841	290.204	-259.272	88.767	-0.799
5900	60.453	325.909	275.698	296.244	-259.621	94.770	-0.839
6000	60.571	326.926	276.544	302.295	-259.977	100.780	-0.877
