Hydrogen (H2)		H2(ref) 
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.467	0.	0.	0.
100	28.154	100.727	155.408	-5.468	0.	0.	0.
200	27.447	119.412	133.284	-2.774	0.	0.	0.
250	28.344	125.640	131.152	-1.378	0.	0.	0.
298.15	28.836	130.680	130.680	0.	0.	0.	0.
300	28.849	130.858	130.680	0.053	0.	0.	0.
350	29.081	135.325	131.032	1.502	0.	0.	0.
400	29.181	139.216	131.817	2.959	0.	0.	0.
450	29.229	142.656	132.834	4.420	0.	0.	0.
500	29.260	145.737	133.973	5.882	0.	0.	0.
600	29.327	151.077	136.392	8.811	0.	0.	0.
700	29.441	155.606	138.822	11.749	0.	0.	0.
800	29.624	159.548	141.171	14.702	0.	0.	0.
900	29.881	163.051	143.411	17.676	0.	0.	0.
1000	30.205	166.216	145.536	20.680	0.	0.	0.
1100	30.581	169.112	147.549	23.719	0.	0.	0.
1200	30.992	171.790	149.459	26.797	0.	0.	0.
1300	31.423	174.288	151.274	29.918	0.	0.	0.
1400	31.861	176.633	153.003	33.082	0.	0.	0.
1500	32.298	178.846	154.652	36.290	0.	0.	0.
1600	32.725	180.944	156.231	39.541	0.	0.	0.
1700	33.139	182.940	157.743	42.835	0.	0.	0.
1800	33.537	184.846	159.197	46.169	0.	0.	0.
1900	33.917	186.669	160.595	49.541	0.	0.	0.
2000	34.280	188.418	161.943	52.951	0.	0.	0.
2100	34.624	190.099	163.244	56.397	0.	0.	0.
2200	34.952	191.718	164.501	59.876	0.	0.	0.
2300	35.263	193.278	165.719	63.387	0.	0.	0.
2400	35.559	194.785	166.899	66.928	0.	0.	0.
2500	35.842	196.243	168.044	70.498	0.	0.	0.
2600	36.111	197.654	169.155	74.096	0.	0.	0.
2700	36.370	199.021	170.236	77.720	0.	0.	0.
2800	36.618	200.349	171.288	81.369	0.	0.	0.
2900	36.856	201.638	172.313	85.043	0.	0.	0.
3000	37.087	202.891	173.311	88.740	0.	0.	0.
