Water (H2O)	H2O1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.904	-238.921	-238.921	INFINITE
100	33.299	152.388	218.534	-6.615	-240.083	-236.584	123.579
200	33.349	175.485	191.896	-3.282	-240.900	-232.766	60.792
298.15	33.590	188.834	188.834	0.	-241.826	-228.582	40.047
300	33.596	189.042	188.835	0.062	-241.844	-228.500	39.785
400	34.262	198.788	190.159	3.452	-242.846	-223.901	29.238
500	35.226	206.534	192.685	6.925	-243.826	-219.051	22.884
600	36.325	213.052	195.550	10.501	-244.758	-214.007	18.631
700	37.495	218.739	198.465	14.192	-245.632	-208.812	15.582
800	38.721	223.825	201.322	18.002	-246.443	-203.496	13.287
900	39.987	228.459	204.084	21.938	-247.185	-198.083	11.496
1000	41.268	232.738	206.738	26.000	-247.857	-192.590	10.060
