Carbon Dioxide (CO2)		C1O2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.364	-393.151	-393.151	INFINITE
100	29.208	179.009	243.568	-6.456	-393.208	-393.683	205.639
200	32.359	199.975	217.046	-3.414	-393.404	-394.085	102.924
298.15	37.129	213.795	213.795	0.	-393.522	-394.389	69.095
300	37.221	214.025	213.795	0.069	-393.523	-394.394	68.670
400	41.325	225.314	215.307	4.003	-393.583	-394.675	51.539
500	44.627	234.901	218.290	8.305	-393.666	-394.939	41.259
600	47.321	243.283	221.772	12.907	-393.803	-395.182	34.404
700	49.564	250.750	225.388	17.754	-393.983	-395.398	29.505
800	51.434	257.494	228.986	22.806	-394.188	-395.586	25.829
900	52.999	263.645	232.500	28.030	-394.405	-395.748	22.969
1000	54.308	269.299	235.901	33.397	-394.623	-395.886	20.679
