Oxygen (O2)		O2(ref)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.683	0.	0.	0.
100	29.106	173.307	231.094	-5.779	0.	0.	0.
200	29.126	193.485	207.823	-2.868	0.	0.	0.
250	29.201	199.990	205.630	-1.410	0.	0.	0.
298.15	29.376	205.147	205.147	0.	0.	0.	0.
300	29.385	205.329	205.148	0.054	0.	0.	0.
350	29.694	209.880	205.506	1.531	0.	0.	0.
400	30.106	213.871	206.308	3.025	0.	0.	0.
450	30.584	217.445	207.350	4.543	0.	0.	0.
500	31.091	220.693	208.524	6.084	0.	0.	0.
600	32.090	226.451	211.044	9.244	0.	0.	0.
700	32.981	231.466	213.611	12.499	0.	0.	0.
800	33.733	235.921	216.126	15.835	0.	0.	0.
900	34.355	239.931	218.552	19.241	0.	0.	0.
1000	34.870	243.578	220.875	22.703	0.	0.	0.
1100	35.300	246.922	223.093	26.212	0.	0.	0.
1200	35.667	250.010	225.209	29.761	0.	0.	0.
1300	35.988	252.878	227.229	33.344	0.	0.	0.
1400	36.277	255.556	229.158	36.957	0.	0.	0.
1500	36.544	258.068	231.002	40.599	0.	0.	0.
1600	36.796	260.434	232.768	44.266	0.	0.	0.
1700	37.040	262.672	234.462	47.958	0.	0.	0.
1800	37.277	264.796	236.089	51.673	0.	0.	0.
1900	37.510	266.818	237.653	55.413	0.	0.	0.
2000	37.741	268.748	239.160	59.175	0.	0.	0.
2100	37.969	270.595	240.613	62.961	0.	0.	0.
2200	38.195	272.366	242.017	66.769	0.	0.	0.
2300	38.419	274.069	243.374	70.600	0.	0.	0.
2400	38.639	275.709	244.687	74.453	0.	0.	0.
2500	38.856	277.290	245.959	78.328	0.	0.	0.
2600	39.068	278.819	247.194	82.224	0.	0.	0.
2700	39.276	280.297	248.393	86.141	0.	0.	0.
2800	39.478	281.729	249.558	90.079	0.	0.	0.
2900	39.674	283.118	250.691	94.036	0.	0.	0.
3000	39.864	284.466	251.795	98.013	0.	0.	0.
