Oxygen (O2)	O2(ref)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.683	0.	0.	0.
100	29.106	173.307	231.094	-5.779	0.	0.	0.
200	29.126	193.485	207.823	-2.868	0.	0.	0.
250	29.201	199.990	205.630	-1.410	0.	0.	0.
298.15	29.376	205.147	205.147	0.	0.	0.	0.
300	29.385	205.329	205.148	0.054	0.	0.	0.
350	29.694	209.880	205.506	1.531	0.	0.	0.
400	30.106	213.871	206.308	3.025	0.	0.	0.
450	30.584	217.445	207.350	4.543	0.	0.	0.
500	31.091	220.693	208.524	6.084	0.	0.	0.
600	32.090	226.451	211.044	9.244	0.	0.	0.
700	32.981	231.466	213.611	12.499	0.	0.	0.
800	33.733	235.921	216.126	15.835	0.	0.	0.
900	34.355	239.931	218.552	19.241	0.	0.	0.
1000	34.870	243.578	220.875	22.703	0.	0.	0.
